new_index,author,content,date_time,id,language,number_of_likes,number_of_shares,sentiment
0,katyperry,"Omg deep cut, agreed https://t.co/0yGlkuo3bJ",2016-12-06 09:53:00,806074000000000000,en,6195,1748,1
1,katyperry,"Thanks @COVERGIRL for keeping everyone clean-cut and QT at Hudson High, Home of the Poodles. 💋,… https://t.co/Txo3zIPtBl",2016-10-30 06:51:00,792620000000000000,en,8386,1932,0
2,katyperry,"Difficult subjects I'd like to hear thoughts on tonight are: national security, climate change, excess incarceration (aka modern slavery)...",2016-10-09 23:49:00,785266000000000000,en,10103,2428,1
3,katyperry,@greenIight thanks but painful,2016-09-10 21:49:00,774727000000000000,en,3826,1070,0
4,katyperry,Current mood: 😻 Meowings are better with green tea in kitty cups: https://t.co/p3SvJ5p30k https://t.co/RBB2CQMI2a,2016-01-28 19:43:00,692795000000000000,en,35570,10800,1
5,katyperry,I'm thankful for good👖's #94andkillingthegame https://t.co/BNNC3QSto3,2015-11-26 21:06:00,669986000000000000,en,10513,4394,0
6,katyperry,Yesterday at 6am I started climbing that huge mountain you see in all the Machu Picchu pictures… https://t.co/O3yQWyJszp,2015-09-25 21:00:00,647516000000000000,en,9947,4944,0
7,katyperry,@KatyCatsClub https://t.co/1D3o3vd0uO,2015-03-17 17:10:00,577880000000000000,und,4790,3034,0
8,katyperry,"Oh hey to you too, snack! (Also doing my best Lisa Loeb impression in these 👓) @ 🌴The Green Light… https://t.co/ZMaLy1NDYc",2015-03-11 02:13:00,575480000000000000,en,9626,4775,0
9,katyperry,Remember internet it's literally ILLEGAL to post pictures of me at my house w/my family that unethical paparazzi have taken on long lenses.,2015-02-07 20:12:00,564155000000000000,en,18648,8819,0
10,katyperry,Peep these pixxx from our day @ 🎵DOLLYWOOD🎵 on http://t.co/AvxwAO3RGX 📷 by ronysphotobooth http://t.co/dOMhKyxNbe,2014-06-27 22:06:00,482646000000000000,en,5436,3096,0
11,katyperry,You know your friend is a good one when you catch her putting vodka in her Pressed Juicery greens 3.,2014-03-09 04:52:00,442523000000000000,en,12080,7110,0
12,katyperry,"Fine, but this is pre green tea so watch out, anything could happen. “@clairekatycat: @katyperry STOP THE CAT NAP AND FANGURL WITH US”",2013-08-12 11:08:00,366879000000000000,en,1306,1429,1
13,justinbieber,Right now at storm. #PurposeTour Copenhagen pop up https://t.co/a64IKtAYO3,2016-09-30 14:43:00,781867000000000000,en,91551,38897,0
14,justinbieber,😂😂😂 @KevinHart4real @JKCorden https://t.co/kxo3M5SJkF,2016-06-17 04:54:00,743668000000000000,und,68584,32926,0
15,justinbieber,:) https://t.co/8cvJdTo35k,2015-12-25 18:19:00,680453000000000000,und,61942,32693,0
16,justinbieber,"Let's go!!!! Staples Center​ this Friday on sale now!! 

Ticket and album bundles here --&gt; https://t.co/H0WXeJo8NV https://t.co/o3hF7NhtF6",2015-11-10 18:07:00,664142000000000000,en,51318,38334,0
17,justinbieber,Enjoy the show. After the #WhatDoYouMean music video goes live! http://t.co/N7PFqMcWAK http://t.co/O3UBRa4Fow,2015-08-31 01:21:00,638160000000000000,en,83979,75586,1
18,taylorswift13,I feel like we achieved our goal of looking like we're in a new primetime drama series called Family Secrets. https://t.co/O33kRm8VJH,2016-02-29 23:42:00,704452000000000000,en,147163,42587,1
